5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.50V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-12.00V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.50V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-11.00V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.50V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-10.00V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.88V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.50V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.00V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-9.25V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.75V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.50V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-8.00V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.50V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-7.00V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.75V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.62V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.38V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-9.17V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A	5-DämpfExz-8.88V-0.4A
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,050	0,003			7,5000E-5			0,050	0,002			3,7500E-5			0,050	0,005			1,1250E-4			0,050	0,000			0,0000			0,050	0,000			0,0000			0,050	-0,014			-3,3750E-4			0,050	-0,014			-3,3750E-4			0,050	-0,006			-1,5000E-4			0,050	-0,014			-3,3750E-4			0,050	-0,025			-6,0000E-4			0,050	0,003			7,5000E-5			0,050	-0,008			-1,8750E-4			0,050	0,002			3,7500E-5			0,050	0,005			1,1250E-4			0,050	0,002			3,7500E-5			0,050	0,016			3,7500E-4			0,050	0,008			1,8750E-4			0,050	0,024			5,6250E-4			0,050	-0,022			-5,2500E-4			0,050	0,009			2,2500E-4		
0,100	0,165	3,267		0,0039	0,078		0,100	0,041	0,251		9,7500E-4	0,006		0,100	0,206	4,194		0,0049	0,100		0,100	0,063	1,854		0,0015	0,044		0,100	-0,030	-1,477		-7,1250E-4	-0,035		0,100	-0,503	-10,210		-0,0120	-0,244		0,100	-0,602	-12,001		-0,0144	-0,286		0,100	-0,203	-1,963		-0,0048	-0,047		0,100	-0,729	-13,792		-0,0174	-0,329		0,100	-0,900	-16,603		-0,0215	-0,396		0,100	0,038	-0,440		9,0000E-4	-0,010		0,100	-0,388	-7,933		-0,0093	-0,189		0,100	0,160	2,749		0,0038	0,066		0,100	0,195	3,723		0,0046	0,089		0,100	0,069	1,492		0,0017	0,036		0,100	0,587	10,367		0,0140	0,247		0,100	0,377	8,859		0,0090	0,211		0,100	0,953	17,624		0,0228	0,421		0,100	-0,779	-16,038		-0,0186	-0,383		0,100	0,573	10,933		0,0137	0,261	
0,150	0,330	3,236	-3,299	0,0079	0,077	-0,079	0,150	0,027	-0,785	-19,949	6,3750E-4	-0,019	-0,476	0,150	0,424	4,430	1,885	0,0101	0,106	0,045	0,150	0,185	3,000	21,834	0,0044	0,072	0,521	0,150	-0,148	-3,157	-32,044	-0,0035	-0,075	-0,765	0,150	-1,035	-10,776	-5,655	-0,0247	-0,257	-0,135	0,150	-1,214	-12,237	1,728	-0,0290	-0,292	0,041	0,150	-0,203	1,932	76,498	-0,0048	0,046	1,826	0,150	-1,393	-12,504	31,102	-0,0333	-0,298	0,742	0,150	-1,685	-14,483	48,852	-0,0402	-0,346	1,166	0,150	-0,041	-2,655	-43,040	-9,7500E-4	-0,063	-1,028	0,150	-0,801	-8,435	-6,912	-0,0191	-0,201	-0,165	0,150	0,276	1,806	-19,478	0,0066	0,043	-0,465	0,150	0,377	3,550	-4,241	0,0090	0,085	-0,101	0,150	0,151	1,775	5,655	0,0036	0,042	0,135	0,150	1,052	7,964	-52,465	0,0251	0,190	-1,253	0,150	0,894	11,592	49,794	0,0213	0,277	1,189	0,150	1,786	15,268	-54,821	0,0426	0,364	-1,309	0,150	-1,626	-17,483	-21,363	-0,0388	-0,417	-0,510	0,150	1,103	10,022	-22,462	0,0263	0,239	-0,536
0,200	0,489	2,937	-8,639	0,0117	0,070	-0,206	0,200	-0,038	-1,744	-17,907	-9,0000E-4	-0,042	-0,427	0,200	0,649	4,383	-4,084	0,0155	0,105	-0,097	0,200	0,363	4,037	18,692	0,0087	0,096	0,446	0,200	-0,346	-4,681	-28,117	-0,0083	-0,112	-0,671	0,200	-1,580	-10,776	5,812	-0,0377	-0,257	0,139	0,200	-1,825	-11,828	14,294	-0,0436	-0,282	0,341	0,200	-0,009	5,686	72,885	-2,2500E-4	0,136	1,740	0,200	-1,979	-10,681	41,155	-0,0473	-0,255	0,983	0,200	-2,348	-11,718	60,476	-0,0561	-0,280	1,444	0,200	-0,228	-4,744	-40,055	-0,0054	-0,113	-0,956	0,200	-1,232	-8,624	-0,314	-0,0294	-0,206	-0,007	0,200	0,341	0,801	-19,792	0,0081	0,019	-0,472	0,200	0,550	3,299	-6,440	0,0131	0,079	-0,154	0,200	0,247	2,058	5,341	0,0059	0,049	0,127	0,200	1,384	5,121	-59,533	0,0330	0,122	-1,421	0,200	1,536	13,839	38,799	0,0367	0,330	0,926	0,200	2,480	12,142	-68,801	0,0592	0,290	-1,643	0,200	-2,527	-18,174	-5,812	-0,0603	-0,434	-0,139	0,200	1,576	8,687	-30,788	0,0376	0,207	-0,735
0,250	0,624	2,372	-13,352	0,0149	0,057	-0,319	0,250	-0,148	-2,576	-14,923	-0,0035	-0,061	-0,356	0,250	0,862	4,021	-10,053	0,0206	0,096	-0,240	0,250	0,589	4,869	13,509	0,0141	0,116	0,322	0,250	-0,616	-5,969	-22,305	-0,0147	-0,142	-0,532	0,250	-2,113	-10,194	17,279	-0,0504	-0,243	0,413	0,250	-2,397	-10,807	25,447	-0,0572	-0,258	0,608	0,250	0,366	9,221	67,073	0,0087	0,220	1,601	0,250	-2,461	-8,388	49,951	-0,0588	-0,200	1,192	0,250	-2,857	-8,435	69,115	-0,0682	-0,201	1,650	0,250	-0,515	-6,660	-35,814	-0,0123	-0,159	-0,855	0,250	-1,663	-8,467	6,597	-0,0397	-0,202	0,158	0,250	0,357	-0,173	-19,478	0,0085	-0,004	-0,465	0,250	0,707	2,906	-8,796	0,0169	0,069	-0,210	0,250	0,357	2,309	4,712	0,0085	0,055	0,112	0,250	1,565	2,011	-62,989	0,0373	0,048	-1,504	0,250	2,278	15,472	25,290	0,0544	0,369	0,604	0,250	3,000	8,388	-79,325	0,0716	0,200	-1,894	0,250	-3,443	-18,064	9,739	-0,0822	-0,431	0,233	0,250	1,971	6,943	-38,013	0,0471	0,166	-0,908
0,300	0,726	1,602	-16,808	0,0173	0,038	-0,401	0,300	-0,295	-3,236	-10,996	-0,0070	-0,077	-0,263	0,300	1,051	3,377	-15,394	0,0251	0,081	-0,367	0,300	0,850	5,388	7,226	0,0203	0,129	0,173	0,300	-0,942	-6,912	-15,080	-0,0225	-0,165	-0,360	0,300	-2,600	-9,048	27,489	-0,0621	-0,216	0,656	0,300	-2,906	-9,283	35,343	-0,0694	-0,222	0,844	0,300	0,913	12,394	57,962	0,0218	0,296	1,384	0,300	-2,818	-5,686	56,392	-0,0673	-0,136	1,346	0,300	-3,192	-4,807	74,142	-0,0762	-0,115	1,770	0,300	-0,894	-8,325	-30,002	-0,0213	-0,199	-0,716	0,300	-2,078	-7,964	13,038	-0,0496	-0,190	0,311	0,300	0,324	-1,147	-18,692	0,0077	-0,027	-0,446	0,300	0,840	2,419	-10,681	0,0201	0,058	-0,255	0,300	0,478	2,529	3,770	0,0114	0,060	0,090	0,300	1,585	-1,178	-62,832	0,0378	-0,028	-1,500	0,300	3,083	16,368	10,210	0,0736	0,391	0,244	0,300	3,319	4,210	-85,294	0,0792	0,100	-2,036	0,300	-4,334	-17,200	24,662	-0,1035	-0,411	0,589	0,300	2,270	4,885	-43,354	0,0542	0,117	-1,035
0,350	0,784	0,691	-18,692	0,0187	0,016	-0,446	0,350	-0,471	-3,676	-6,126	-0,0112	-0,088	-0,146	0,350	1,200	2,482	-19,792	0,0287	0,059	-0,473	0,350	1,128	5,592	0,628	0,0269	0,134	0,015	0,350	-1,307	-7,477	-7,383	-0,0312	-0,179	-0,176	0,350	-3,018	-7,446	35,971	-0,0720	-0,178	0,859	0,350	-3,325	-7,273	43,982	-0,0794	-0,174	1,050	0,350	1,605	15,017	46,181	0,0383	0,358	1,103	0,350	-3,030	-2,749	58,748	-0,0723	-0,066	1,402	0,350	-3,338	-1,021	75,398	-0,0797	-0,024	1,800	0,350	-1,348	-9,660	-22,934	-0,0322	-0,231	-0,548	0,350	-2,460	-7,163	18,692	-0,0587	-0,171	0,446	0,350	0,242	-2,042	-17,436	0,0058	-0,049	-0,416	0,350	0,949	1,838	-12,252	0,0227	0,044	-0,292	0,350	0,609	2,686	2,670	0,0145	0,064	0,064	0,350	1,447	-4,273	-59,219	0,0345	-0,102	-1,414	0,350	3,914	16,493	-5,341	0,0934	0,394	-0,127	0,350	3,421	-0,141	-86,551	0,0817	-0,003	-2,066	0,350	-5,163	-15,598	38,956	-0,1233	-0,372	0,930	0,350	2,460	2,608	-46,653	0,0587	0,062	-1,114
0,400	0,795	-0,267	-18,535	0,0190	-0,006	-0,443	0,400	-0,663	-3,848	-0,628	-0,0158	-0,092	-0,015	0,400	1,299	1,398	-22,619	0,0310	0,033	-0,540	0,400	1,409	5,451	-6,440	0,0336	0,130	-0,154	0,400	-1,690	-7,650	1,257	-0,0404	-0,183	0,030	0,400	-3,344	-5,451	42,726	-0,0798	-0,130	1,020	0,400	-3,633	-4,885	50,108	-0,0867	-0,117	1,196	0,400	2,414	17,012	32,201	0,0576	0,406	0,769	0,400	-3,093	0,188	57,648	-0,0738	0,004	1,376	0,400	-3,294	2,733	73,513	-0,0786	0,065	1,755	0,400	-1,860	-10,619	-15,080	-0,0444	-0,254	-0,360	0,400	-2,794	-6,095	23,562	-0,0667	-0,145	0,562	0,400	0,119	-2,890	-16,179	0,0028	-0,069	-0,386	0,400	1,024	1,194	-13,195	0,0245	0,028	-0,315	0,400	0,746	2,796	1,728	0,0178	0,067	0,041	0,400	1,158	-7,100	-53,250	0,0276	-0,170	-1,271	0,400	4,733	15,834	-20,735	0,1130	0,378	-0,495	0,400	3,305	-4,445	-83,881	0,0789	-0,106	-2,003	0,400	-5,894	-13,305	51,365	-0,1407	-0,318	1,226	0,400	2,531	0,220	-47,438	0,0604	0,005	-1,133
0,450	0,757	-1,162	-16,650	0,0181	-0,028	-0,397	0,450	-0,856	-3,738	5,027	-0,0204	-0,089	0,120	0,450	1,340	0,220	-23,248	0,0320	0,005	-0,555	0,450	1,673	4,948	-13,195	0,0399	0,118	-0,315	0,450	-2,072	-7,351	10,681	-0,0495	-0,175	0,255	0,450	-3,563	-3,173	46,810	-0,0850	-0,076	1,117	0,450	-3,814	-2,262	53,407	-0,0910	-0,054	1,275	0,450	3,307	18,237	16,022	0,0789	0,435	0,382	0,450	-3,011	3,016	55,135	-0,0719	0,072	1,316	0,450	-3,065	6,330	69,429	-0,0732	0,151	1,657	0,450	-2,410	-11,168	-6,754	-0,0575	-0,267	-0,161	0,450	-3,069	-4,807	27,646	-0,0733	-0,115	0,660	0,450	-0,047	-3,660	-14,137	-0,0011	-0,087	-0,337	0,450	1,068	0,518	-13,666	0,0255	0,012	-0,326	0,450	0,889	2,859	0,314	0,0212	0,068	0,007	0,450	0,737	-9,598	-45,710	0,0176	-0,229	-1,091	0,450	5,498	14,420	-35,343	0,1312	0,344	-0,844	0,450	2,977	-8,529	-77,440	0,0711	-0,204	-1,849	0,450	-6,494	-10,462	61,104	-0,1550	-0,250	1,459	0,450	2,482	-2,136	-46,024	0,0593	-0,051	-1,099
0,500	0,679	-1,932	-14,294	0,0162	-0,046	-0,341	0,500	-1,037	-3,346	10,524	-0,0247	-0,080	0,251	0,500	1,321	-0,927	-22,148	0,0315	-0,022	-0,529	0,500	1,904	4,131	-19,164	0,0455	0,099	-0,458	0,500	-2,425	-6,582	19,478	-0,0579	-0,157	0,465	0,500	-3,662	-0,770	47,752	-0,0874	-0,018	1,140	0,500	-3,859	0,456	53,564	-0,0921	0,011	1,279	0,500	4,238	18,614	-0,942	0,1012	0,444	-0,023	0,500	-2,791	5,702	51,679	-0,0666	0,136	1,234	0,500	-2,661	9,676	63,146	-0,0635	0,231	1,507	0,500	-2,977	-11,294	2,356	-0,0711	-0,270	0,056	0,500	-3,275	-3,330	31,102	-0,0782	-0,079	0,743	0,500	-0,247	-4,304	-11,938	-0,0059	-0,103	-0,285	0,500	1,076	-0,173	-13,038	0,0257	-0,004	-0,311	0,500	1,032	2,827	-1,257	0,0246	0,067	-0,030	0,500	0,198	-11,671	-35,343	0,0047	-0,279	-0,844	0,500	6,175	12,299	-48,695	0,1474	0,294	-1,163	0,500	2,452	-12,189	-67,544	0,0585	-0,291	-1,612	0,500	-6,940	-7,194	68,644	-0,1657	-0,172	1,639	0,500	2,317	-4,383	-43,197	0,0553	-0,105	-1,031
0,550	0,564	-2,592	-11,153	0,0135	-0,062	-0,266	0,550	-1,191	-2,686	15,865	-0,0284	-0,064	0,379	0,550	1,247	-1,995	-20,106	0,0298	-0,048	-0,480	0,550	2,086	3,032	-24,190	0,0498	0,072	-0,577	0,550	-2,730	-5,404	27,018	-0,0652	-0,129	0,645	0,550	-3,640	1,602	46,496	-0,0869	0,038	1,110	0,550	-3,768	3,094	51,208	-0,0900	0,074	1,222	0,550	5,168	18,143	-17,750	0,1234	0,433	-0,424	0,550	-2,441	8,184	46,653	-0,0583	0,195	1,114	0,550	-2,097	12,645	54,507	-0,0501	0,302	1,301	0,550	-3,539	-10,933	11,624	-0,0845	-0,261	0,277	0,550	-3,402	-1,696	32,830	-0,0812	-0,040	0,784	0,550	-0,478	-4,854	-9,425	-0,0114	-0,116	-0,225	0,550	1,051	-0,785	-11,938	0,0251	-0,019	-0,285	0,550	1,172	2,733	-2,827	0,0280	0,065	-0,067	0,550	-0,430	-13,132	-22,777	-0,0103	-0,313	-0,544	0,550	6,728	9,550	-60,004	0,1606	0,228	-1,432	0,550	1,758	-15,284	-54,978	0,0420	-0,365	-1,313	0,550	-7,213	-3,597	72,885	-0,1722	-0,086	1,740	0,550	2,044	-6,456	-38,956	0,0488	-0,154	-0,930
0,600	0,419	-3,047	-6,754	0,0100	-0,073	-0,161	0,600	-1,305	-1,759	19,949	-0,0312	-0,042	0,476	0,600	1,122	-2,937	-16,965	0,0268	-0,070	-0,405	0,600	2,207	1,712	-27,175	0,0527	0,041	-0,649	0,600	-2,966	-3,880	33,144	-0,0708	-0,093	0,791	0,600	-3,501	3,880	43,668	-0,0836	0,093	1,042	0,600	-3,550	5,576	47,281	-0,0847	0,133	1,129	0,600	6,052	16,839	-33,929	0,1445	0,402	-0,810	0,600	-1,973	10,367	39,741	-0,0471	0,247	0,949	0,600	-1,396	15,127	43,511	-0,0333	0,361	1,039	0,600	-4,070	-10,132	19,792	-0,0972	-0,242	0,472	0,600	-3,445	-0,047	32,358	-0,0822	-0,001	0,772	0,600	-0,732	-5,246	-6,126	-0,0175	-0,125	-0,146	0,600	0,997	-1,367	-11,781	0,0238	-0,033	-0,281	0,600	1,305	2,545	-4,398	0,0312	0,061	-0,105	0,600	-1,115	-13,949	-9,425	-0,0266	-0,333	-0,225	0,600	7,130	6,299	-68,801	0,1702	0,150	-1,642	0,600	0,924	-17,687	-39,741	0,0220	-0,422	-0,949	0,600	-7,299	0,094	72,885	-0,1743	0,002	1,740	0,600	1,671	-8,278	-33,458	0,0399	-0,198	-0,799
0,650	0,259	-3,267	-2,042	0,0062	-0,078	-0,049	0,650	-1,367	-0,691	21,206	-0,0326	-0,017	0,506	0,650	0,953	-3,691	-12,881	0,0228	-0,088	-0,308	0,650	2,257	0,314	-27,803	0,0539	0,008	-0,664	0,650	-3,118	-2,089	36,443	-0,0744	-0,050	0,870	0,650	-3,252	5,969	38,956	-0,0776	0,143	0,930	0,650	-3,211	7,823	41,155	-0,0766	0,187	0,983	0,650	6,852	14,750	-49,009	0,1636	0,352	-1,170	0,650	-1,404	12,158	30,945	-0,0335	0,290	0,739	0,650	-0,584	16,996	30,002	-0,0140	0,406	0,716	0,650	-4,552	-8,954	27,332	-0,1087	-0,214	0,653	0,650	-3,407	1,539	30,945	-0,0813	0,037	0,739	0,650	-1,002	-5,466	-2,670	-0,0239	-0,131	-0,064	0,650	0,914	-1,963	-11,467	0,0218	-0,047	-0,274	0,650	1,426	2,293	-5,812	0,0340	0,055	-0,139	0,650	-1,825	-14,074	4,712	-0,0436	-0,336	0,113	0,650	7,358	2,670	-73,513	0,1756	0,064	-1,755	0,650	-0,011	-19,258	-22,619	-2,6250E-4	-0,460	-0,540	0,650	-7,204	3,691	70,686	-0,1720	0,088	1,688	0,650	1,216	-9,802	-26,704	0,0290	-0,234	-0,638
0,700	0,093	-3,252	3,142	0,0022	-0,078	0,075	0,700	-1,374	0,361	20,420	-0,0328	0,009	0,488	0,700	0,752	-4,225	-7,854	0,0180	-0,101	-0,188	0,700	2,238	-1,068	-26,861	0,0534	-0,025	-0,641	0,700	-3,175	-0,236	35,500	-0,0758	-0,006	0,848	0,700	-2,904	7,775	32,516	-0,0693	0,186	0,776	0,700	-2,768	9,692	32,830	-0,0661	0,231	0,784	0,700	7,527	11,938	-62,518	0,1797	0,285	-1,493	0,700	-0,757	13,462	20,892	-0,0181	0,321	0,499	0,700	0,303	18,127	14,923	0,0072	0,433	0,356	0,700	-4,965	-7,398	34,243	-0,1185	-0,177	0,818	0,700	-3,291	3,047	29,060	-0,0786	0,073	0,694	0,700	-1,279	-5,513	0,942	-0,0305	-0,132	0,023	0,700	0,801	-2,513	-10,210	0,0191	-0,060	-0,244	0,700	1,535	1,963	-7,540	0,0366	0,047	-0,180	0,700	-2,523	-13,477	18,221	-0,0602	-0,322	0,435	0,700	7,397	-1,052	-73,199	0,1766	-0,025	-1,748	0,700	-1,002	-19,949	-5,027	-0,0239	-0,476	-0,120	0,700	-6,930	7,163	66,602	-0,1654	0,171	1,590	0,700	0,691	-10,948	-18,064	0,0165	-0,261	-0,431
0,750	-0,066	-2,953	8,639	-0,0016	-0,071	0,206	0,750	-1,330	1,351	18,535	-0,0318	0,032	0,442	0,750	0,531	-4,477	-1,885	0,0127	-0,107	-0,045	0,750	2,150	-2,372	-24,662	0,0513	-0,057	-0,589	0,750	-3,142	1,461	32,201	-0,0750	0,035	0,769	0,750	-2,474	9,221	24,347	-0,0591	0,220	0,581	0,750	-2,242	11,106	22,934	-0,0535	0,265	0,547	0,750	8,046	8,498	-73,356	0,1921	0,203	-1,751	0,750	-0,058	14,247	9,896	-0,0014	0,340	0,236	0,750	1,228	18,488	-0,785	0,0293	0,441	-0,019	0,750	-5,292	-5,529	39,741	-0,1263	-0,132	0,949	0,750	-3,102	4,445	26,546	-0,0741	0,106	0,634	0,750	-1,554	-5,372	5,027	-0,0371	-0,128	0,120	0,750	0,663	-2,985	-8,796	0,0158	-0,071	-0,210	0,750	1,623	1,539	-8,796	0,0387	0,037	-0,210	0,750	-3,173	-12,252	30,631	-0,0757	-0,293	0,731	0,750	7,252	-4,650	-69,586	0,1731	-0,111	-1,661	0,750	-2,006	-19,761	12,566	-0,0479	-0,472	0,300	0,750	-6,487	10,352	59,690	-0,1549	0,247	1,425	0,750	0,121	-11,608	-8,639	0,0029	-0,277	-0,206
